MSA,AGENT_REQ,MONTH,POSTED_SHIFTS,FILLED_SHIFTS
"Sacramento-Roseville-Folsom, CA",CNA,11/1/22,1725,1054
"Sacramento-Roseville-Folsom, CA",LVN,9/1/22,666,348
"Sacramento-Roseville-Folsom, CA",LVN,10/1/22,772,436
"Sacramento-Roseville-Folsom, CA",LVN,11/1/22,901,467
"Sacramento-Roseville-Folsom, CA",RN,9/1/22,107,93
"Sacramento-Roseville-Folsom, CA",RN,10/1/22,104,61
"Sacramento-Roseville-Folsom, CA",RN,11/1/22,107,102
"San Antonio-New Braunfels, TX",CNA,9/1/22,287,196
"San Antonio-New Braunfels, TX",CNA,10/1/22,249,151
"San Antonio-New Braunfels, TX",CNA,11/1/22,137,102
"San Antonio-New Braunfels, TX",LVN,9/1/22,211,173
"San Antonio-New Braunfels, TX",LVN,10/1/22,188,153
"San Antonio-New Braunfels, TX",LVN,11/1/22,79,51
"San Antonio-New Braunfels, TX",RN,9/1/22,7,4
"San Antonio-New Braunfels, TX",RN,10/1/22,6,4
"San Antonio-New Braunfels, TX",RN,11/1/22,1,1
"San Francisco-Oakland-Berkeley, CA",CNA,9/1/22,2257,2222
"San Francisco-Oakland-Berkeley, CA",CNA,10/1/22,2226,2141
"San Francisco-Oakland-Berkeley, CA",CNA,11/1/22,2092,1974
"San Francisco-Oakland-Berkeley, CA",LVN,9/1/22,716,700
"San Francisco-Oakland-Berkeley, CA",LVN,10/1/22,691,660
"San Francisco-Oakland-Berkeley, CA",LVN,11/1/22,640,602
"San Francisco-Oakland-Berkeley, CA",RN,9/1/22,281,204
"San Francisco-Oakland-Berkeley, CA",RN,10/1/22,241,156
"San Francisco-Oakland-Berkeley, CA",RN,11/1/22,215,141
"San Jose-Sunnyvale-Santa Clara, CA",CNA,9/1/22,283,253
"San Jose-Sunnyvale-Santa Clara, CA",CNA,10/1/22,327,296
"San Jose-Sunnyvale-Santa Clara, CA",CNA,11/1/22,478,381
"San Jose-Sunnyvale-Santa Clara, CA",LVN,9/1/22,367,210
"San Jose-Sunnyvale-Santa Clara, CA",LVN,10/1/22,335,329
"San Jose-Sunnyvale-Santa Clara, CA",LVN,11/1/22,359,302
"San Jose-Sunnyvale-Santa Clara, CA",RN,9/1/22,22,12
"San Jose-Sunnyvale-Santa Clara, CA",RN,10/1/22,30,27
"San Jose-Sunnyvale-Santa Clara, CA",RN,11/1/22,91,64
"Sioux Falls, SD",CNA,10/1/22,379,83
"Sioux Falls, SD",CNA,11/1/22,71,32
"Springfield, MA",CNA,9/1/22,203,70
"Springfield, MA",CNA,10/1/22,312,157
"Springfield, MA",CNA,11/1/22,478,342
"Springfield, MA",LVN,9/1/22,77,42
"Springfield, MA",LVN,10/1/22,56,37
"Springfield, MA",LVN,11/1/22,211,162
"Springfield, MA",RN,9/1/22,19,13
"Springfield, MA",RN,10/1/22,63,40
"Springfield, MA",RN,11/1/22,148,107
"St. Louis, MO-IL",CNA,9/1/22,604,341
"St. Louis, MO-IL",CNA,10/1/22,733,486
"St. Louis, MO-IL",CNA,11/1/22,770,578
"St. Louis, MO-IL",LVN,9/1/22,263,192
"St. Louis, MO-IL",LVN,10/1/22,410,297
"St. Louis, MO-IL",LVN,11/1/22,299,285
"St. Louis, MO-IL",RN,9/1/22,8,5
"St. Louis, MO-IL",RN,10/1/22,20,12
"St. Louis, MO-IL",RN,11/1/22,23,20
"Stockton, CA",CNA,9/1/22,251,150
"Stockton, CA",CNA,10/1/22,345,316
"Stockton, CA",CNA,11/1/22,328,232
"Stockton, CA",LVN,9/1/22,103,68
"Stockton, CA",LVN,10/1/22,174,173
"Stockton, CA",LVN,11/1/22,156,92
"Stockton, CA",RN,9/1/22,1,0
"Stockton, CA",RN,11/1/22,14,10
"Torrington, CT",CNA,9/1/22,310,186
"Torrington, CT",CNA,10/1/22,334,181
"Torrington, CT",CNA,11/1/22,358,356
"Torrington, CT",LVN,9/1/22,39,18
"Torrington, CT",LVN,10/1/22,52,37
"Torrington, CT",LVN,11/1/22,71,70
"Torrington, CT",RN,11/1/22,7,6
,,,,
